Name,Branch,Year,CGPA, bool,div,Mob no.,Blood group,xyz,pqr
text137,branch137,2023-02-22 12:53:54.648888,55,False,text137,branch137,2023-02-22 12:53:54.648890,56,True
text138,branch138,2023-02-22 12:53:54.648892,50,False,text138,branch138,2023-02-22 12:53:54.648895,60,False
text139,branch139,2023-02-22 12:53:54.648897,13,False,text139,branch139,2023-02-22 12:53:54.648899,45,False
text140,branch140,2023-02-22 12:53:54.648902,60,False,text140,branch140,2023-02-22 12:53:54.648904,31,False
text141,branch141,2023-02-22 12:53:54.648907,24,False,text141,branch141,2023-02-22 12:53:54.648909,54,True
text142,branch142,2023-02-22 12:53:54.648911,48,True,text142,branch142,2023-02-22 12:53:54.648913,88,False
text143,branch143,2023-02-22 12:53:54.648915,47,True,text143,branch143,2023-02-22 12:53:54.648917,86,True
text144,branch144,2023-02-22 12:53:54.648920,31,True,text144,branch144,2023-02-22 12:53:54.648922,49,True
text145,branch145,2023-02-22 12:53:54.648924,73,False,text145,branch145,2023-02-22 12:53:54.648926,92,True
text146,branch146,2023-02-22 12:53:54.648929,64,True,text146,branch146,2023-02-22 12:53:54.648931,96,False
text147,branch147,2023-02-22 12:53:54.648933,69,True,text147,branch147,2023-02-22 12:53:54.648936,60,True
text148,branch148,2023-02-22 12:53:54.648938,32,False,text148,branch148,2023-02-22 12:53:54.648940,14,False
text149,branch149,2023-02-22 12:53:54.648942,33,True,text149,branch149,2023-02-22 12:53:54.648945,82,False
text150,branch150,2023-02-22 12:53:54.648947,49,True,text150,branch150,2023-02-22 12:53:54.648949,100,True
text151,branch151,2023-02-22 12:53:54.648952,40,False,text151,branch151,2023-02-22 12:53:54.648954,27,False
text152,branch152,2023-02-22 12:53:54.648956,44,True,text152,branch152,2023-02-22 12:53:54.648958,77,True
text153,branch153,2023-02-22 12:53:54.648961,87,False,text153,branch153,2023-02-22 12:53:54.648963,31,False
text154,branch154,2023-02-22 12:53:54.648965,62,False,text154,branch154,2023-02-22 12:53:54.648968,59,True
text155,branch155,2023-02-22 12:53:54.648970,80,True,text155,branch155,2023-02-22 12:53:54.648972,71,False
text156,branch156,2023-02-22 12:53:54.648974,23,False,text156,branch156,2023-02-22 12:53:54.648977,12,False
text157,branch157,2023-02-22 12:53:54.648979,90,False,text157,branch157,2023-02-22 12:53:54.648982,19,True
text158,branch158,2023-02-22 12:53:54.648984,99,True,text158,branch158,2023-02-22 12:53:54.648986,39,False
text159,branch159,2023-02-22 12:53:54.648988,85,False,text159,branch159,2023-02-22 12:53:54.648991,98,True
text160,branch160,2023-02-22 12:53:54.648993,38,False,text160,branch160,2023-02-22 12:53:54.648995,94,False
text161,branch161,2023-02-22 12:53:54.648998,85,False,text161,branch161,2023-02-22 12:53:54.649000,56,False
text162,branch162,2023-02-22 12:53:54.649003,81,False,text162,branch162,2023-02-22 12:53:54.649005,47,True
text163,branch163,2023-02-22 12:53:54.649007,19,True,text163,branch163,2023-02-22 12:53:54.649010,77,True
text164,branch164,2023-02-22 12:53:54.649012,38,False,text164,branch164,2023-02-22 12:53:54.649014,48,False
text165,branch165,2023-02-22 12:53:54.649017,57,False,text165,branch165,2023-02-22 12:53:54.649019,32,True
text166,branch166,2023-02-22 12:53:54.649022,41,True,text166,branch166,2023-02-22 12:53:54.649036,38,False
text167,branch167,2023-02-22 12:53:54.649039,64,False,text167,branch167,2023-02-22 12:53:54.649041,22,False
text168,branch168,2023-02-22 12:53:54.649043,51,True,text168,branch168,2023-02-22 12:53:54.649046,14,True
text169,branch169,2023-02-22 12:53:54.649048,37,False,text169,branch169,2023-02-22 12:53:54.649050,16,True
text170,branch170,2023-02-22 12:53:54.649053,21,True,text170,branch170,2023-02-22 12:53:54.649055,97,True
text171,branch171,2023-02-22 12:53:54.649057,25,False,text171,branch171,2023-02-22 12:53:54.649060,61,True
text172,branch172,2023-02-22 12:53:54.649062,39,False,text172,branch172,2023-02-22 12:53:54.649064,33,False
text173,branch173,2023-02-22 12:53:54.649067,23,True,text173,branch173,2023-02-22 12:53:54.649069,59,False
text174,branch174,2023-02-22 12:53:54.649072,81,False,text174,branch174,2023-02-22 12:53:54.649074,84,False
text175,branch175,2023-02-22 12:53:54.649077,26,True,text175,branch175,2023-02-22 12:53:54.649083,87,True
text176,branch176,2023-02-22 12:53:54.649087,93,False,text176,branch176,2023-02-22 12:53:54.649089,54,False
text177,branch177,2023-02-22 12:53:54.649092,66,True,text177,branch177,2023-02-22 12:53:54.649094,89,False
text178,branch178,2023-02-22 12:53:54.649097,94,False,text178,branch178,2023-02-22 12:53:54.649099,81,True
text179,branch179,2023-02-22 12:53:54.649101,85,False,text179,branch179,2023-02-22 12:53:54.649104,43,True
text180,branch180,2023-02-22 12:53:54.649106,70,True,text180,branch180,2023-02-22 12:53:54.649108,10,True
text181,branch181,2023-02-22 12:53:54.649111,16,False,text181,branch181,2023-02-22 12:53:54.649113,58,False
text182,branch182,2023-02-22 12:53:54.649115,26,False,text182,branch182,2023-02-22 12:53:54.649118,11,True
text183,branch183,2023-02-22 12:53:54.649120,39,True,text183,branch183,2023-02-22 12:53:54.649122,25,False
text184,branch184,2023-02-22 12:53:54.649125,31,False,text184,branch184,2023-02-22 12:53:54.649127,30,True
text185,branch185,2023-02-22 12:53:54.649130,50,False,text185,branch185,2023-02-22 12:53:54.649132,52,True
text186,branch186,2023-02-22 12:53:54.649135,43,False,text186,branch186,2023-02-22 12:53:54.649137,71,True
text187,branch187,2023-02-22 12:53:54.649140,23,False,text187,branch187,2023-02-22 12:53:54.649142,81,False
text188,branch188,2023-02-22 12:53:54.649144,18,False,text188,branch188,2023-02-22 12:53:54.649151,67,False
text189,branch189,2023-02-22 12:53:54.649153,78,False,text189,branch189,2023-02-22 12:53:54.649156,66,True
text190,branch190,2023-02-22 12:53:54.649158,35,True,text190,branch190,2023-02-22 12:53:54.649161,100,True
text191,branch191,2023-02-22 12:53:54.649164,77,False,text191,branch191,2023-02-22 12:53:54.649166,14,False
text192,branch192,2023-02-22 12:53:54.649168,41,True,text192,branch192,2023-02-22 12:53:54.649171,29,False
text193,branch193,2023-02-22 12:53:54.649173,91,True,text193,branch193,2023-02-22 12:53:54.649175,86,False
text194,branch194,2023-02-22 12:53:54.649177,52,False,text194,branch194,2023-02-22 12:53:54.649180,65,False
text195,branch195,2023-02-22 12:53:54.649182,79,True,text195,branch195,2023-02-22 12:53:54.649184,69,True
text196,branch196,2023-02-22 12:53:54.649187,39,False,text196,branch196,2023-02-22 12:53:54.649189,83,False
text197,branch197,2023-02-22 12:53:54.649191,35,False,text197,branch197,2023-02-22 12:53:54.649193,61,True
text198,branch198,2023-02-22 12:53:54.649196,86,True,text198,branch198,2023-02-22 12:53:54.649198,43,True
text199,branch199,2023-02-22 12:53:54.649200,91,True,text199,branch199,2023-02-22 12:53:54.649203,80,False
text200,branch200,2023-02-22 12:53:54.649205,41,False,text200,branch200,2023-02-22 12:53:54.649207,24,True
text201,branch201,2023-02-22 12:53:54.649213,88,True,text201,branch201,2023-02-22 12:53:54.649215,83,True
text202,branch202,2023-02-22 12:53:54.649217,70,True,text202,branch202,2023-02-22 12:53:54.649220,50,False
text203,branch203,2023-02-22 12:53:54.649222,82,False,text203,branch203,2023-02-22 12:53:54.649224,28,True
text204,branch204,2023-02-22 12:53:54.649227,28,True,text204,branch204,2023-02-22 12:53:54.649229,42,False
text205,branch205,2023-02-22 12:53:54.649231,87,True,text205,branch205,2023-02-22 12:53:54.649233,81,True
text206,branch206,2023-02-22 12:53:54.649236,22,True,text206,branch206,2023-02-22 12:53:54.649238,45,True
text207,branch207,2023-02-22 12:53:54.649240,56,False,text207,branch207,2023-02-22 12:53:54.649243,88,False
text208,branch208,2023-02-22 12:53:54.649245,57,True,text208,branch208,2023-02-22 12:53:54.649247,96,True
text209,branch209,2023-02-22 12:53:54.649249,74,True,text209,branch209,2023-02-22 12:53:54.649252,80,True
text210,branch210,2023-02-22 12:53:54.649254,36,True,text210,branch210,2023-02-22 12:53:54.649257,49,True
text211,branch211,2023-02-22 12:53:54.649259,61,False,text211,branch211,2023-02-22 12:53:54.649261,59,False
text212,branch212,2023-02-22 12:53:54.649264,96,True,text212,branch212,2023-02-22 12:53:54.649266,77,False
text213,branch213,2023-02-22 12:53:54.649269,89,True,text213,branch213,2023-02-22 12:53:54.649273,71,False
text214,branch214,2023-02-22 12:53:54.649276,37,True,text214,branch214,2023-02-22 12:53:54.649281,41,False
text215,branch215,2023-02-22 12:53:54.649284,34,True,text215,branch215,2023-02-22 12:53:54.649286,52,True
text216,branch216,2023-02-22 12:53:54.649288,82,False,text216,branch216,2023-02-22 12:53:54.649290,23,False
text217,branch217,2023-02-22 12:53:54.649293,69,False,text217,branch217,2023-02-22 12:53:54.649295,48,True
text218,branch218,2023-02-22 12:53:54.649297,39,False,text218,branch218,2023-02-22 12:53:54.649299,55,True
text219,branch219,2023-02-22 12:53:54.649302,68,False,text219,branch219,2023-02-22 12:53:54.649304,24,False
text220,branch220,2023-02-22 12:53:54.649306,55,True,text220,branch220,2023-02-22 12:53:54.649309,20,True
text221,branch221,2023-02-22 12:53:54.649311,73,False,text221,branch221,2023-02-22 12:53:54.649314,68,True
text222,branch222,2023-02-22 12:53:54.649316,63,False,text222,branch222,2023-02-22 12:53:54.649318,59,False
text223,branch223,2023-02-22 12:53:54.649320,12,False,text223,branch223,2023-02-22 12:53:54.649323,58,True
text224,branch224,2023-02-22 12:53:54.649325,35,True,text224,branch224,2023-02-22 12:53:54.649327,11,False
text225,branch225,2023-02-22 12:53:54.649330,45,True,text225,branch225,2023-02-22 12:53:54.649333,41,True
text226,branch226,2023-02-22 12:53:54.649339,56,False,text226,branch226,2023-02-22 12:53:54.649341,38,False
text227,branch227,2023-02-22 12:53:54.649344,51,True,text227,branch227,2023-02-22 12:53:54.649346,70,True
text228,branch228,2023-02-22 12:53:54.649351,12,True,text228,branch228,2023-02-22 12:53:54.649354,100,True
text229,branch229,2023-02-22 12:53:54.649357,80,False,text229,branch229,2023-02-22 12:53:54.649359,98,False
text230,branch230,2023-02-22 12:53:54.649361,55,False,text230,branch230,2023-02-22 12:53:54.649364,86,False
text231,branch231,2023-02-22 12:53:54.649366,95,False,text231,branch231,2023-02-22 12:53:54.649368,91,False
text232,branch232,2023-02-22 12:53:54.649371,14,True,text232,branch232,2023-02-22 12:53:54.649373,89,True
text233,branch233,2023-02-22 12:53:54.649375,84,True,text233,branch233,2023-02-22 12:53:54.649378,65,True
text234,branch234,2023-02-22 12:53:54.649380,48,False,text234,branch234,2023-02-22 12:53:54.649383,64,True
text235,branch235,2023-02-22 12:53:54.649385,19,False,text235,branch235,2023-02-22 12:53:54.649387,60,True
text236,branch236,2023-02-22 12:53:54.649389,76,True,text236,branch236,2023-02-22 12:53:54.649392,75,True
text237,branch237,2023-02-22 12:53:54.649394,30,True,text237,branch237,2023-02-22 12:53:54.649396,73,True
text238,branch238,2023-02-22 12:53:54.649399,87,True,text238,branch238,2023-02-22 12:53:54.649404,33,False
text239,branch239,2023-02-22 12:53:54.649406,70,False,text239,branch239,2023-02-22 12:53:54.649408,67,True
text240,branch240,2023-02-22 12:53:54.649411,95,True,text240,branch240,2023-02-22 12:53:54.649413,92,True
text241,branch241,2023-02-22 12:53:54.649416,59,False,text241,branch241,2023-02-22 12:53:54.649418,67,False
text242,branch242,2023-02-22 12:53:54.649420,60,False,text242,branch242,2023-02-22 12:53:54.649422,79,True
text243,branch243,2023-02-22 12:53:54.649425,20,False,text243,branch243,2023-02-22 12:53:54.649427,91,True
text244,branch244,2023-02-22 12:53:54.649430,34,True,text244,branch244,2023-02-22 12:53:54.649432,76,True
text245,branch245,2023-02-22 12:53:54.649434,50,True,text245,branch245,2023-02-22 12:53:54.649436,87,False
text246,branch246,2023-02-22 12:53:54.649439,84,False,text246,branch246,2023-02-22 12:53:54.649441,98,True
text247,branch247,2023-02-22 12:53:54.649444,18,False,text247,branch247,2023-02-22 12:53:54.649446,53,True
text248,branch248,2023-02-22 12:53:54.649448,68,True,text248,branch248,2023-02-22 12:53:54.649451,16,True
text249,branch249,2023-02-22 12:53:54.649453,33,True,text249,branch249,2023-02-22 12:53:54.649455,32,False
text250,branch250,2023-02-22 12:53:54.649458,36,True,text250,branch250,2023-02-22 12:53:54.649460,85,True
text251,branch251,2023-02-22 12:53:54.649463,57,False,text251,branch251,2023-02-22 12:53:54.649469,62,False
text252,branch252,2023-02-22 12:53:54.649472,12,True,text252,branch252,2023-02-22 12:53:54.649474,49,False
text253,branch253,2023-02-22 12:53:54.649477,75,False,text253,branch253,2023-02-22 12:53:54.649479,64,True
text254,branch254,2023-02-22 12:53:54.649481,98,False,text254,branch254,2023-02-22 12:53:54.649484,14,False
text255,branch255,2023-02-22 12:53:54.649486,35,True,text255,branch255,2023-02-22 12:53:54.649488,95,True
text256,branch256,2023-02-22 12:53:54.649491,16,True,text256,branch256,2023-02-22 12:53:54.649496,100,True
