Name,Branch,Year,CGPA, bool,div,Mob no.,Blood group,xyz,pqr
text23,branch23,2023-02-22 12:51:25.872996,46,True,text23,branch23,2023-02-22 12:51:25.873000,37,False
text24,branch24,2023-02-22 12:51:25.873004,97,False,text24,branch24,2023-02-22 12:51:25.873007,48,True
text25,branch25,2023-02-22 12:51:25.873012,54,False,text25,branch25,2023-02-22 12:51:25.873015,10,True
text26,branch26,2023-02-22 12:51:25.873020,41,True,text26,branch26,2023-02-22 12:51:25.873023,11,False
text27,branch27,2023-02-22 12:51:25.873044,48,True,text27,branch27,2023-02-22 12:51:25.873048,88,True
text28,branch28,2023-02-22 12:51:25.873052,92,True,text28,branch28,2023-02-22 12:51:25.873055,23,True
text29,branch29,2023-02-22 12:51:25.873060,63,True,text29,branch29,2023-02-22 12:51:25.873064,33,False
text30,branch30,2023-02-22 12:51:25.873067,64,False,text30,branch30,2023-02-22 12:51:25.873071,76,True
text31,branch31,2023-02-22 12:51:25.873075,73,True,text31,branch31,2023-02-22 12:51:25.873079,98,False
text32,branch32,2023-02-22 12:51:25.873083,48,False,text32,branch32,2023-02-22 12:51:25.873086,48,True
text33,branch33,2023-02-22 12:51:25.873090,29,False,text33,branch33,2023-02-22 12:51:25.873094,49,True
text34,branch34,2023-02-22 12:51:25.873098,85,False,text34,branch34,2023-02-22 12:51:25.873102,35,True
text35,branch35,2023-02-22 12:51:25.873114,93,True,text35,branch35,2023-02-22 12:51:25.873117,29,True
text36,branch36,2023-02-22 12:51:25.873121,46,False,text36,branch36,2023-02-22 12:51:25.873124,34,True
text37,branch37,2023-02-22 12:51:25.873128,83,True,text37,branch37,2023-02-22 12:51:25.873131,33,False
text38,branch38,2023-02-22 12:51:25.873135,83,False,text38,branch38,2023-02-22 12:51:25.873138,18,True
text39,branch39,2023-02-22 12:51:25.873141,80,True,text39,branch39,2023-02-22 12:51:25.873145,93,True
text40,branch40,2023-02-22 12:51:25.873149,13,False,text40,branch40,2023-02-22 12:51:25.873153,10,False
text41,branch41,2023-02-22 12:51:25.873158,86,True,text41,branch41,2023-02-22 12:51:25.873161,26,False
text42,branch42,2023-02-22 12:51:25.873165,74,True,text42,branch42,2023-02-22 12:51:25.873170,71,True
text43,branch43,2023-02-22 12:51:25.873174,65,False,text43,branch43,2023-02-22 12:51:25.873177,44,True
text44,branch44,2023-02-22 12:51:25.873181,79,True,text44,branch44,2023-02-22 12:51:25.873185,39,True
text45,branch45,2023-02-22 12:51:25.873189,51,True,text45,branch45,2023-02-22 12:51:25.873367,55,True
text46,branch46,2023-02-22 12:51:25.873374,30,True,text46,branch46,2023-02-22 12:51:25.873378,50,True
text47,branch47,2023-02-22 12:51:25.873382,33,True,text47,branch47,2023-02-22 12:51:25.873394,79,True
text48,branch48,2023-02-22 12:51:25.873399,29,False,text48,branch48,2023-02-22 12:51:25.873403,65,False
text49,branch49,2023-02-22 12:51:25.873406,34,False,text49,branch49,2023-02-22 12:51:25.873410,56,True
text50,branch50,2023-02-22 12:51:25.873414,30,False,text50,branch50,2023-02-22 12:51:25.873418,65,False
text51,branch51,2023-02-22 12:51:25.873421,35,False,text51,branch51,2023-02-22 12:51:25.873425,27,True
text52,branch52,2023-02-22 12:51:25.873428,33,True,text52,branch52,2023-02-22 12:51:25.873433,53,True
text53,branch53,2023-02-22 12:51:25.873436,40,False,text53,branch53,2023-02-22 12:51:25.873439,22,True
text54,branch54,2023-02-22 12:51:25.873443,51,True,text54,branch54,2023-02-22 12:51:25.873447,70,False
text55,branch55,2023-02-22 12:51:25.873451,60,True,text55,branch55,2023-02-22 12:51:25.873455,33,False
text56,branch56,2023-02-22 12:51:25.873458,42,False,text56,branch56,2023-02-22 12:51:25.873462,51,False
text57,branch57,2023-02-22 12:51:25.873465,89,False,text57,branch57,2023-02-22 12:51:25.873469,74,True
text58,branch58,2023-02-22 12:51:25.873472,72,False,text58,branch58,2023-02-22 12:51:25.873476,36,True
text59,branch59,2023-02-22 12:51:25.873479,77,True,text59,branch59,2023-02-22 12:51:25.873483,88,True
text60,branch60,2023-02-22 12:51:25.873486,36,False,text60,branch60,2023-02-22 12:51:25.873489,19,False
text61,branch61,2023-02-22 12:51:25.873493,36,False,text61,branch61,2023-02-22 12:51:25.873497,96,False
text62,branch62,2023-02-22 12:51:25.873501,72,False,text62,branch62,2023-02-22 12:51:25.873505,32,False
text63,branch63,2023-02-22 12:51:25.873510,28,False,text63,branch63,2023-02-22 12:51:25.873513,51,True
text64,branch64,2023-02-22 12:51:25.873518,60,False,text64,branch64,2023-02-22 12:51:25.873522,20,False
text65,branch65,2023-02-22 12:51:25.873526,40,True,text65,branch65,2023-02-22 12:51:25.873530,79,False
text66,branch66,2023-02-22 12:51:25.873533,27,False,text66,branch66,2023-02-22 12:51:25.873536,16,False
text67,branch67,2023-02-22 12:51:25.873540,27,True,text67,branch67,2023-02-22 12:51:25.873544,19,True
text68,branch68,2023-02-22 12:51:25.873548,65,False,text68,branch68,2023-02-22 12:51:25.873552,72,True
text69,branch69,2023-02-22 12:51:25.873555,86,True,text69,branch69,2023-02-22 12:51:25.873558,99,True
text70,branch70,2023-02-22 12:51:25.873562,26,True,text70,branch70,2023-02-22 12:51:25.873566,82,True
text71,branch71,2023-02-22 12:51:25.873570,85,False,text71,branch71,2023-02-22 12:51:25.873573,45,True
text72,branch72,2023-02-22 12:51:25.873577,68,False,text72,branch72,2023-02-22 12:51:25.873581,51,False
text73,branch73,2023-02-22 12:51:25.873585,50,True,text73,branch73,2023-02-22 12:51:25.873588,23,True
text74,branch74,2023-02-22 12:51:25.873592,16,True,text74,branch74,2023-02-22 12:51:25.873596,13,True
text75,branch75,2023-02-22 12:51:25.873599,81,True,text75,branch75,2023-02-22 12:51:25.873603,15,False
text76,branch76,2023-02-22 12:51:25.873608,41,True,text76,branch76,2023-02-22 12:51:25.873611,20,False
text77,branch77,2023-02-22 12:51:25.873617,18,True,text77,branch77,2023-02-22 12:51:25.873620,98,True
text78,branch78,2023-02-22 12:51:25.873625,11,True,text78,branch78,2023-02-22 12:51:25.873628,95,True
text79,branch79,2023-02-22 12:51:25.873632,99,False,text79,branch79,2023-02-22 12:51:25.873636,98,True
text80,branch80,2023-02-22 12:51:25.873640,29,True,text80,branch80,2023-02-22 12:51:25.873643,88,False
text81,branch81,2023-02-22 12:51:25.873648,97,False,text81,branch81,2023-02-22 12:51:25.873652,54,False
text82,branch82,2023-02-22 12:51:25.873655,36,False,text82,branch82,2023-02-22 12:51:25.873658,95,False
text83,branch83,2023-02-22 12:51:25.873662,95,False,text83,branch83,2023-02-22 12:51:25.873666,11,True
text84,branch84,2023-02-22 12:51:25.873670,28,True,text84,branch84,2023-02-22 12:51:25.873673,93,True
text85,branch85,2023-02-22 12:51:25.873677,29,True,text85,branch85,2023-02-22 12:51:25.873681,37,True
text86,branch86,2023-02-22 12:51:25.873685,100,False,text86,branch86,2023-02-22 12:51:25.873689,58,False
text87,branch87,2023-02-22 12:51:25.873692,49,True,text87,branch87,2023-02-22 12:51:25.873696,27,True
text88,branch88,2023-02-22 12:51:25.873701,92,True,text88,branch88,2023-02-22 12:51:25.873705,11,False
text89,branch89,2023-02-22 12:51:25.873709,68,True,text89,branch89,2023-02-22 12:51:25.873712,80,False
text90,branch90,2023-02-22 12:51:25.873717,54,False,text90,branch90,2023-02-22 12:51:25.873721,23,True
text91,branch91,2023-02-22 12:51:25.873725,63,True,text91,branch91,2023-02-22 12:51:25.873792,82,False
text92,branch92,2023-02-22 12:51:25.873799,62,False,text92,branch92,2023-02-22 12:51:25.873803,69,True
text93,branch93,2023-02-22 12:51:25.873808,61,True,text93,branch93,2023-02-22 12:51:25.873812,28,True
text94,branch94,2023-02-22 12:51:25.873816,45,False,text94,branch94,2023-02-22 12:51:25.873820,95,False
text95,branch95,2023-02-22 12:51:25.873825,51,False,text95,branch95,2023-02-22 12:51:25.873829,74,True
text96,branch96,2023-02-22 12:51:25.873833,70,False,text96,branch96,2023-02-22 12:51:25.873838,14,False
text97,branch97,2023-02-22 12:51:25.873842,33,True,text97,branch97,2023-02-22 12:51:25.873846,79,True
text98,branch98,2023-02-22 12:51:25.873849,81,False,text98,branch98,2023-02-22 12:51:25.873853,25,False
text99,branch99,2023-02-22 12:51:25.873857,47,False,text99,branch99,2023-02-22 12:51:25.873861,76,True
text100,branch100,2023-02-22 12:51:25.873865,57,False,text100,branch100,2023-02-22 12:51:25.873869,65,False
text101,branch101,2023-02-22 12:51:25.873873,83,False,text101,branch101,2023-02-22 12:51:25.873877,21,False
text102,branch102,2023-02-22 12:51:25.873881,56,True,text102,branch102,2023-02-22 12:51:25.873885,13,True
text103,branch103,2023-02-22 12:51:25.873889,91,True,text103,branch103,2023-02-22 12:51:25.873893,69,False
text104,branch104,2023-02-22 12:51:25.873898,80,True,text104,branch104,2023-02-22 12:51:25.873902,56,False
text105,branch105,2023-02-22 12:51:25.873906,33,False,text105,branch105,2023-02-22 12:51:25.873910,99,True
text106,branch106,2023-02-22 12:51:25.873913,31,False,text106,branch106,2023-02-22 12:51:25.873917,92,True
text107,branch107,2023-02-22 12:51:25.873920,58,False,text107,branch107,2023-02-22 12:51:25.873922,45,True
text108,branch108,2023-02-22 12:51:25.873924,38,False,text108,branch108,2023-02-22 12:51:25.873927,44,False
text109,branch109,2023-02-22 12:51:25.873930,28,False,text109,branch109,2023-02-22 12:51:25.873932,34,True
text110,branch110,2023-02-22 12:51:25.873934,20,True,text110,branch110,2023-02-22 12:51:25.873937,77,True
text111,branch111,2023-02-22 12:51:25.873939,20,False,text111,branch111,2023-02-22 12:51:25.873941,28,False
text112,branch112,2023-02-22 12:51:25.873943,79,True,text112,branch112,2023-02-22 12:51:25.873946,17,True
text113,branch113,2023-02-22 12:51:25.873948,75,True,text113,branch113,2023-02-22 12:51:25.873950,25,True
text114,branch114,2023-02-22 12:51:25.873952,53,False,text114,branch114,2023-02-22 12:51:25.873955,95,False
text115,branch115,2023-02-22 12:51:25.873957,14,True,text115,branch115,2023-02-22 12:51:25.873959,45,True
text116,branch116,2023-02-22 12:51:25.873962,77,False,text116,branch116,2023-02-22 12:51:25.873964,28,True
text117,branch117,2023-02-22 12:51:25.873966,55,True,text117,branch117,2023-02-22 12:51:25.873968,53,True
text118,branch118,2023-02-22 12:51:25.873970,41,True,text118,branch118,2023-02-22 12:51:25.873972,81,True
text119,branch119,2023-02-22 12:51:25.873975,19,False,text119,branch119,2023-02-22 12:51:25.873977,87,True
text120,branch120,2023-02-22 12:51:25.873979,37,True,text120,branch120,2023-02-22 12:51:25.873982,89,False
text121,branch121,2023-02-22 12:51:25.873984,50,True,text121,branch121,2023-02-22 12:51:25.873986,27,False
text122,branch122,2023-02-22 12:51:25.873989,19,True,text122,branch122,2023-02-22 12:51:25.873991,89,False
text123,branch123,2023-02-22 12:51:25.873993,74,False,text123,branch123,2023-02-22 12:51:25.873995,97,True
text124,branch124,2023-02-22 12:51:25.873997,25,False,text124,branch124,2023-02-22 12:51:25.874000,29,False
text125,branch125,2023-02-22 12:51:25.874002,72,True,text125,branch125,2023-02-22 12:51:25.874004,57,False
text126,branch126,2023-02-22 12:51:25.874006,96,True,text126,branch126,2023-02-22 12:51:25.874008,28,True
text127,branch127,2023-02-22 12:51:25.874010,66,False,text127,branch127,2023-02-22 12:51:25.874012,51,False
text128,branch128,2023-02-22 12:51:25.874015,13,False,text128,branch128,2023-02-22 12:51:25.874017,82,True
text129,branch129,2023-02-22 12:51:25.874019,55,False,text129,branch129,2023-02-22 12:51:25.874021,80,True
text130,branch130,2023-02-22 12:51:25.874042,26,False,text130,branch130,2023-02-22 12:51:25.874046,60,True
text131,branch131,2023-02-22 12:51:25.874050,71,True,text131,branch131,2023-02-22 12:51:25.874054,63,True
text132,branch132,2023-02-22 12:51:25.874058,56,False,text132,branch132,2023-02-22 12:51:25.874061,11,True
text133,branch133,2023-02-22 12:51:25.874066,41,False,text133,branch133,2023-02-22 12:51:25.874070,80,False
text134,branch134,2023-02-22 12:51:25.874074,92,False,text134,branch134,2023-02-22 12:51:25.874078,54,True
text135,branch135,2023-02-22 12:51:25.874082,69,False,text135,branch135,2023-02-22 12:51:25.874086,77,False
text136,branch136,2023-02-22 12:51:25.874090,15,True,text136,branch136,2023-02-22 12:51:25.874094,28,True
text137,branch137,2023-02-22 12:51:25.874098,43,True,text137,branch137,2023-02-22 12:51:25.874103,99,False
text138,branch138,2023-02-22 12:51:25.874107,97,True,text138,branch138,2023-02-22 12:51:25.874111,36,False
text139,branch139,2023-02-22 12:51:25.874115,45,True,text139,branch139,2023-02-22 12:51:25.874119,62,True
text140,branch140,2023-02-22 12:51:25.874123,74,True,text140,branch140,2023-02-22 12:51:25.874126,82,True
text141,branch141,2023-02-22 12:51:25.874128,66,True,text141,branch141,2023-02-22 12:51:25.874130,60,True
text142,branch142,2023-02-22 12:51:25.874133,16,True,text142,branch142,2023-02-22 12:51:25.874135,50,False
text143,branch143,2023-02-22 12:51:25.874137,55,False,text143,branch143,2023-02-22 12:51:25.874139,39,False
text144,branch144,2023-02-22 12:51:25.874142,96,True,text144,branch144,2023-02-22 12:51:25.874144,81,False
text145,branch145,2023-02-22 12:51:25.874146,71,True,text145,branch145,2023-02-22 12:51:25.874148,95,False
text146,branch146,2023-02-22 12:51:25.874150,25,False,text146,branch146,2023-02-22 12:51:25.874152,59,False
text147,branch147,2023-02-22 12:51:25.874155,53,True,text147,branch147,2023-02-22 12:51:25.874157,40,False
text148,branch148,2023-02-22 12:51:25.874159,54,True,text148,branch148,2023-02-22 12:51:25.874161,12,True
text149,branch149,2023-02-22 12:51:25.874164,11,False,text149,branch149,2023-02-22 12:51:25.874166,89,True
text150,branch150,2023-02-22 12:51:25.874168,56,True,text150,branch150,2023-02-22 12:51:25.874170,83,True
text151,branch151,2023-02-22 12:51:25.874174,45,True,text151,branch151,2023-02-22 12:51:25.874178,83,True
text152,branch152,2023-02-22 12:51:25.874182,47,True,text152,branch152,2023-02-22 12:51:25.874185,65,False
text153,branch153,2023-02-22 12:51:25.874189,85,True,text153,branch153,2023-02-22 12:51:25.874193,92,True
text154,branch154,2023-02-22 12:51:25.874196,61,False,text154,branch154,2023-02-22 12:51:25.874200,80,True
text155,branch155,2023-02-22 12:51:25.874203,19,False,text155,branch155,2023-02-22 12:51:25.874207,65,False
text156,branch156,2023-02-22 12:51:25.874211,40,False,text156,branch156,2023-02-22 12:51:25.874214,68,False
text157,branch157,2023-02-22 12:51:25.874218,43,True,text157,branch157,2023-02-22 12:51:25.874221,27,True
text158,branch158,2023-02-22 12:51:25.874224,30,False,text158,branch158,2023-02-22 12:51:25.874227,42,False
text159,branch159,2023-02-22 12:51:25.874230,50,False,text159,branch159,2023-02-22 12:51:25.874234,46,False
text160,branch160,2023-02-22 12:51:25.874237,42,False,text160,branch160,2023-02-22 12:51:25.874240,35,False
text161,branch161,2023-02-22 12:51:25.874245,86,False,text161,branch161,2023-02-22 12:51:25.874248,66,False
text162,branch162,2023-02-22 12:51:25.874251,68,False,text162,branch162,2023-02-22 12:51:25.874255,15,True
text163,branch163,2023-02-22 12:51:25.874259,60,True,text163,branch163,2023-02-22 12:51:25.874262,19,False
text164,branch164,2023-02-22 12:51:25.874266,75,True,text164,branch164,2023-02-22 12:51:25.874269,49,False
text165,branch165,2023-02-22 12:51:25.874273,57,False,text165,branch165,2023-02-22 12:51:25.874276,44,False
text166,branch166,2023-02-22 12:51:25.874280,10,False,text166,branch166,2023-02-22 12:51:25.874284,97,True
text167,branch167,2023-02-22 12:51:25.874288,21,False,text167,branch167,2023-02-22 12:51:25.874292,17,False
text168,branch168,2023-02-22 12:51:25.874295,24,False,text168,branch168,2023-02-22 12:51:25.874298,21,False
text169,branch169,2023-02-22 12:51:25.874302,69,True,text169,branch169,2023-02-22 12:51:25.874306,77,True
text170,branch170,2023-02-22 12:51:25.874309,42,True,text170,branch170,2023-02-22 12:51:25.874313,64,False
text171,branch171,2023-02-22 12:51:25.874316,92,False,text171,branch171,2023-02-22 12:51:25.874319,90,True
text172,branch172,2023-02-22 12:51:25.874323,42,True,text172,branch172,2023-02-22 12:51:25.874327,57,False
text173,branch173,2023-02-22 12:51:25.874332,56,False,text173,branch173,2023-02-22 12:51:25.874336,62,True
text174,branch174,2023-02-22 12:51:25.874339,61,True,text174,branch174,2023-02-22 12:51:25.874343,65,False
text175,branch175,2023-02-22 12:51:25.874346,25,False,text175,branch175,2023-02-22 12:51:25.874349,58,True
text176,branch176,2023-02-22 12:51:25.874359,42,True,text176,branch176,2023-02-22 12:51:25.874364,31,True
text177,branch177,2023-02-22 12:51:25.874368,92,False,text177,branch177,2023-02-22 12:51:25.874371,26,True
text178,branch178,2023-02-22 12:51:25.874377,38,True,text178,branch178,2023-02-22 12:51:25.874380,69,False
text179,branch179,2023-02-22 12:51:25.874393,66,False,text179,branch179,2023-02-22 12:51:25.874397,51,False
text180,branch180,2023-02-22 12:51:25.874400,14,True,text180,branch180,2023-02-22 12:51:25.874404,85,False
text181,branch181,2023-02-22 12:51:25.874408,57,False,text181,branch181,2023-02-22 12:51:25.874412,98,False
text182,branch182,2023-02-22 12:51:25.874415,68,False,text182,branch182,2023-02-22 12:51:25.874418,29,False
text183,branch183,2023-02-22 12:51:25.874422,26,False,text183,branch183,2023-02-22 12:51:25.874426,93,True
text184,branch184,2023-02-22 12:51:25.874430,47,True,text184,branch184,2023-02-22 12:51:25.874433,56,True
text185,branch185,2023-02-22 12:51:25.874438,14,False,text185,branch185,2023-02-22 12:51:25.874442,26,True
text186,branch186,2023-02-22 12:51:25.874446,15,True,text186,branch186,2023-02-22 12:51:25.874450,18,False
text187,branch187,2023-02-22 12:51:25.874455,61,True,text187,branch187,2023-02-22 12:51:25.874459,62,False
text188,branch188,2023-02-22 12:51:25.874463,78,True,text188,branch188,2023-02-22 12:51:25.874475,26,False
text189,branch189,2023-02-22 12:51:25.874479,92,True,text189,branch189,2023-02-22 12:51:25.874483,12,False
text190,branch190,2023-02-22 12:51:25.874487,87,False,text190,branch190,2023-02-22 12:51:25.874491,99,True
text191,branch191,2023-02-22 12:51:25.874495,48,False,text191,branch191,2023-02-22 12:51:25.874497,29,True
text192,branch192,2023-02-22 12:51:25.874499,86,True,text192,branch192,2023-02-22 12:51:25.874502,30,False
text193,branch193,2023-02-22 12:51:25.874504,54,False,text193,branch193,2023-02-22 12:51:25.874506,37,False
text194,branch194,2023-02-22 12:51:25.874508,64,False,text194,branch194,2023-02-22 12:51:25.874510,39,False
text195,branch195,2023-02-22 12:51:25.874513,48,True,text195,branch195,2023-02-22 12:51:25.874515,23,True
text196,branch196,2023-02-22 12:51:25.874517,19,False,text196,branch196,2023-02-22 12:51:25.874519,54,True
text197,branch197,2023-02-22 12:51:25.874522,60,True,text197,branch197,2023-02-22 12:51:25.874524,56,False
text198,branch198,2023-02-22 12:51:25.874526,88,False,text198,branch198,2023-02-22 12:51:25.874528,33,False
text199,branch199,2023-02-22 12:51:25.874531,25,True,text199,branch199,2023-02-22 12:51:25.874533,33,True
text200,branch200,2023-02-22 12:51:25.874536,32,False,text200,branch200,2023-02-22 12:51:25.874538,72,True
text201,branch201,2023-02-22 12:51:25.874541,22,False,text201,branch201,2023-02-22 12:51:25.874546,79,True
text202,branch202,2023-02-22 12:51:25.874548,86,False,text202,branch202,2023-02-22 12:51:25.874551,25,True
text203,branch203,2023-02-22 12:51:25.874553,49,False,text203,branch203,2023-02-22 12:51:25.874555,96,True
text204,branch204,2023-02-22 12:51:25.874557,24,False,text204,branch204,2023-02-22 12:51:25.874559,90,True
text205,branch205,2023-02-22 12:51:25.874562,37,False,text205,branch205,2023-02-22 12:51:25.874564,47,False
text206,branch206,2023-02-22 12:51:25.874566,22,True,text206,branch206,2023-02-22 12:51:25.874568,64,True
text207,branch207,2023-02-22 12:51:25.874571,42,True,text207,branch207,2023-02-22 12:51:25.874574,46,False
text208,branch208,2023-02-22 12:51:25.874576,51,True,text208,branch208,2023-02-22 12:51:25.874578,99,False
text209,branch209,2023-02-22 12:51:25.874580,88,False,text209,branch209,2023-02-22 12:51:25.874582,93,False
text210,branch210,2023-02-22 12:51:25.874585,14,False,text210,branch210,2023-02-22 12:51:25.874587,87,True
text211,branch211,2023-02-22 12:51:25.874589,81,True,text211,branch211,2023-02-22 12:51:25.874591,66,True
text212,branch212,2023-02-22 12:51:25.874593,40,False,text212,branch212,2023-02-22 12:51:25.874596,17,True
text213,branch213,2023-02-22 12:51:25.874598,57,True,text213,branch213,2023-02-22 12:51:25.874600,49,True
text214,branch214,2023-02-22 12:51:25.874605,53,False,text214,branch214,2023-02-22 12:51:25.874610,24,True
text215,branch215,2023-02-22 12:51:25.874612,97,False,text215,branch215,2023-02-22 12:51:25.874615,95,True
text216,branch216,2023-02-22 12:51:25.874617,21,True,text216,branch216,2023-02-22 12:51:25.874619,18,True
text217,branch217,2023-02-22 12:51:25.874621,94,True,text217,branch217,2023-02-22 12:51:25.874623,92,True
text218,branch218,2023-02-22 12:51:25.874625,70,True,text218,branch218,2023-02-22 12:51:25.874628,28,False
text219,branch219,2023-02-22 12:51:25.874630,51,True,text219,branch219,2023-02-22 12:51:25.874632,85,True
text220,branch220,2023-02-22 12:51:25.874634,28,True,text220,branch220,2023-02-22 12:51:25.874637,37,False
text221,branch221,2023-02-22 12:51:25.874639,31,False,text221,branch221,2023-02-22 12:51:25.874641,73,True
text222,branch222,2023-02-22 12:51:25.874643,79,True,text222,branch222,2023-02-22 12:51:25.874645,62,True
text223,branch223,2023-02-22 12:51:25.874648,10,True,text223,branch223,2023-02-22 12:51:25.874650,47,False
text224,branch224,2023-02-22 12:51:25.874652,62,False,text224,branch224,2023-02-22 12:51:25.874654,20,False
text225,branch225,2023-02-22 12:51:25.874657,24,True,text225,branch225,2023-02-22 12:51:25.874659,19,True
text226,branch226,2023-02-22 12:51:25.874661,24,False,text226,branch226,2023-02-22 12:51:25.874666,41,False
text227,branch227,2023-02-22 12:51:25.874669,37,False,text227,branch227,2023-02-22 12:51:25.874671,79,True
text228,branch228,2023-02-22 12:51:25.874673,57,True,text228,branch228,2023-02-22 12:51:25.874675,87,True
text229,branch229,2023-02-22 12:51:25.874677,28,True,text229,branch229,2023-02-22 12:51:25.874680,83,False
text230,branch230,2023-02-22 12:51:25.874685,13,False,text230,branch230,2023-02-22 12:51:25.874688,40,True
text231,branch231,2023-02-22 12:51:25.874690,66,True,text231,branch231,2023-02-22 12:51:25.874693,12,True
text232,branch232,2023-02-22 12:51:25.874695,71,False,text232,branch232,2023-02-22 12:51:25.874697,71,True
text233,branch233,2023-02-22 12:51:25.874700,12,True,text233,branch233,2023-02-22 12:51:25.874702,73,False
text234,branch234,2023-02-22 12:51:25.874704,61,True,text234,branch234,2023-02-22 12:51:25.874707,19,True
text235,branch235,2023-02-22 12:51:25.874709,46,False,text235,branch235,2023-02-22 12:51:25.874712,69,True
text236,branch236,2023-02-22 12:51:25.874714,48,False,text236,branch236,2023-02-22 12:51:25.874716,79,True
text237,branch237,2023-02-22 12:51:25.874718,16,False,text237,branch237,2023-02-22 12:51:25.874720,21,False
text238,branch238,2023-02-22 12:51:25.874723,33,True,text238,branch238,2023-02-22 12:51:25.874725,29,False
text239,branch239,2023-02-22 12:51:25.874731,44,False,text239,branch239,2023-02-22 12:51:25.874734,48,True
text240,branch240,2023-02-22 12:51:25.874736,100,True,text240,branch240,2023-02-22 12:51:25.874738,60,True
text241,branch241,2023-02-22 12:51:25.874741,94,False,text241,branch241,2023-02-22 12:51:25.874743,15,True
text242,branch242,2023-02-22 12:51:25.874745,44,True,text242,branch242,2023-02-22 12:51:25.874747,64,True
text243,branch243,2023-02-22 12:51:25.874750,32,True,text243,branch243,2023-02-22 12:51:25.874752,14,True
text244,branch244,2023-02-22 12:51:25.874754,22,False,text244,branch244,2023-02-22 12:51:25.874756,72,True
text245,branch245,2023-02-22 12:51:25.874758,35,True,text245,branch245,2023-02-22 12:51:25.874761,63,False
text246,branch246,2023-02-22 12:51:25.874763,73,False,text246,branch246,2023-02-22 12:51:25.874765,22,False
text247,branch247,2023-02-22 12:51:25.874768,18,False,text247,branch247,2023-02-22 12:51:25.874770,91,False
text248,branch248,2023-02-22 12:51:25.874772,59,False,text248,branch248,2023-02-22 12:51:25.874774,87,True
text249,branch249,2023-02-22 12:51:25.874777,18,True,text249,branch249,2023-02-22 12:51:25.874779,74,False
text250,branch250,2023-02-22 12:51:25.874781,82,False,text250,branch250,2023-02-22 12:51:25.874783,24,True
text251,branch251,2023-02-22 12:51:25.874786,46,True,text251,branch251,2023-02-22 12:51:25.874791,77,False
text252,branch252,2023-02-22 12:51:25.874794,75,False,text252,branch252,2023-02-22 12:51:25.874796,24,True
text253,branch253,2023-02-22 12:51:25.874798,91,True,text253,branch253,2023-02-22 12:51:25.874800,58,False
text254,branch254,2023-02-22 12:51:25.874802,16,True,text254,branch254,2023-02-22 12:51:25.874804,57,False
text255,branch255,2023-02-22 12:51:25.874807,28,True,text255,branch255,2023-02-22 12:51:25.874809,90,False
text256,branch256,2023-02-22 12:51:25.874811,67,False,text256,branch256,2023-02-22 12:51:25.874816,68,True
